PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
35.00,0.00,0.00,611.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13342,"Milwaukee, WI",IAD,"Washington, DC",1,L
35.00,0.00,0.00,612.00,Delta Air Lines Inc.,14711,"State College, PA",MSN,"Madison, WI",2,L
35.00,0.00,0.00,634.00,Southwest Airlines Co.,11996,"Greer, SC",MKE,"Milwaukee, WI",7,F
35.00,0.00,0.00,747.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ORF,"Norfolk, VA",4,F
35.00,0.00,0.00,799.00,Breeze Aviation Group DBA  Breeze,13485,"Madison, WI",EWR,"Newark, NJ",2,L
35.00,0.00,0.00,903.00,Southwest Airlines Co.,13495,"New Orleans, LA",MKE,"Milwaukee, WI",8,F
35.00,0.00,0.00,984.00,Southwest Airlines Co.,12266,"Houston, TX",MKE,"Milwaukee, WI",1,F
36.00,0.00,0.00,228.00,Breeze Aviation Group DBA  Breeze,13487,"Minneapolis, MN",MSN,"Madison, WI",9,L
36.00,0.00,0.00,242.00,Breeze Aviation Group DBA  Breeze,13485,"Madison, WI",LAN,"Lansing, MI",9,L
36.00,0.00,0.00,311.00,Delta Air Lines Inc.,13485,"Madison, WI",DTW,"Detroit, MI",3,L
36.00,0.00,0.00,780.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10529,"Hartford, CT",MKE,"Milwaukee, WI",2,L
36.00,0.00,0.00,780.00,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13342,"Milwaukee, WI",BDL,"Hartford, CT",2,L
